Location,Longitude,Latitude
10th & Peachtree,-84.383972,33.781734
14th St. Bridge,-84.391045,33.786709
17th & Spring,-84.389275,33.791794
BeltLine + Irwin,-84.36496,33.757633
BeltLine + Monroe,-84.368484,33.78207
Boulevard + Berne St,-84.368195,33.736813
Cherokee & Woodward,-84.373436,33.745541
Clairemont Ave + Superior Ave,-84.299316,33.78201
Clairmont & Starvine,-84.307281,33.798695
Edgewood & Krog,-84.36425,33.754707
Five Points,-84.389778,33.754486
Flat Shoals + Glenwood,-84.345451,33.740185
Freedom Parkway & Highland,-84.35247,33.769016
Freedom Parkway Trail @ Sampson,-84.362167,33.76313
Highland & St. Charles,-84.35247,33.775402
Hosea Williams + Rogers,-84.329163,33.753426
Howell Mill & Marietta,-84.409653,33.778736
Howell Mill Rd + Collier Rd,-84.412857,33.809422
Huff Rd + Marietta Blvd,-84.428299,33.788456
Joseph E. Lowery + Westview,-84.417564,33.746616
Little 5 Points,-84.349228,33.764969
Midtown Plaza Ponce de Leon entrance,NA,NA
MLK + Joseph E. Lowery,-84.417572,33.754745
Moreland + Euclid,-84.349154,33.765446
Moreland + McLendon,-84.349283,33.764938
North Decatur @ Oxford & Dowman,-84.325645,33.788494
Piedmont & Decatur,-84.385384,33.751461
Piedmont & Edgewood,-84.382294,33.754532
Ralph David Abernathy & Lee,-84.414101,33.738617
RDA + BeltLine Westside Trail,-84.432617,33.738972
Trinity & McDonough,-84.296494,33.773563
Trinity & W Ponce,-84.306427,33.773048
Virginia Ave + Lanier Blvd,-84.353088,33.782341
W Whitehead & Ralph David Abernathy,NA,NA
W. Peachtree St + 5th St,-84.387321,33.776821
West Peachtree & 5th,-84.387321,33.776821