location,season,time,total,malepercent,male,female,helmet,onstreet,trafficdirection,laws,bikelane,Longitude,Latitude
10th & Peachtree,Fall 2009,AM,28,0.821428571428571,23,5,0.535714285714286,0.5,0.75,0.5,NA,-84.383972,33.781734
14th St. Bridge,Fall 2009,AM,6,1,6,0,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,-84.391045,33.786709
17th & Spring,Fall 2009,AM,5,0.8,4,1,0.6,1,1,1,NA,-84.389275,33.791794
Cherokee & Woodward,Fall 2009,AM,22,0.818181818181818,18,4,0.727272727272727,0.954545454545455,1,0.954545454545455,0,-84.373436,33.745541
Clairmont & Starvine,Fall 2009,AM,26,NA,NA,NA,0.846153846153846,NA,1,0,0.961538461538462,-84.307281,33.798695
Edgewood & Krog,Fall 2009,AM,71,0.830985915492958,59,12,NA,NA,NA,0.859154929577465,NA,-84.36425,33.754707
Five Points,Fall 2009,AM,39,0.974358974358974,38,1,0.666666666666667,0.794871794871795,0.871794871794872,0.769230769230769,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Fall 2009,AM,12,0.666666666666667,8,4,0.583333333333333,0.5,0.5,0.5,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2009,AM,31,0.774193548387097,24,7,0.741935483870968,0.870967741935484,0.870967741935484,0.870967741935484,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2009,AM,7,1,7,0,0.714285714285714,0.428571428571429,0.714285714285714,0.428571428571429,NA,-84.409653,33.778736
North Decatur @ Oxford & Dowman,Fall 2009,AM,35,0.714285714285714,25,10,0.885714285714286,0.8,NA,0.771428571428571,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Fall 2009,AM,6,0.833333333333333,5,1,0,0.833333333333333,0.666666666666667,0.666666666666667,NA,-84.414101,33.738617
Trinity & McDonough,Fall 2009,AM,7,0.857142857142857,6,1,0.714285714285714,1,1,1,NA,-84.296494,33.773563
Trinity & W Ponce,Fall 2009,AM,20,0.85,17,3,0.85,0.7,0.85,0.7,NA,-84.306427,33.773048
West Peachtree & 5th,Fall 2009,AM,56,0.875,49,7,0.517857142857143,0.767857142857143,0.875,0.75,NA,-84.387321,33.776821
10th & Peachtree,Fall 2009,PM,55,0.909090909090909,50,5,0.309090909090909,0.581818181818182,0.872727272727273,0.581818181818182,NA,-84.383972,33.781734
14th St. Bridge,Fall 2009,PM,10,0.7,7,3,0.4,0.8,0.9,0.8,0,-84.391045,33.786709
Cherokee & Woodward,Fall 2009,PM,14,0.857142857142857,12,2,0.642857142857143,0.928571428571429,0.928571428571429,0.857142857142857,0,-84.373436,33.745541
Clairmont & Starvine,Fall 2009,PM,37,NA,NA,NA,0.675675675675676,NA,1,0.027027027027027,NA,-84.307281,33.798695
Edgewood & Krog,Fall 2009,PM,104,0.807692307692308,84,20,NA,0.923076923076923,0.961538461538462,0.903846153846154,NA,-84.36425,33.754707
Flat Shoals + Glenwood,Fall 2009,PM,13,0.846153846153846,11,2,0.307692307692308,0.769230769230769,0.923076923076923,0.769230769230769,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2009,PM,72,NA,NA,NA,0.694444444444444,0.833333333333333,0.819444444444444,0.722222222222222,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2009,PM,18,0.833333333333333,15,3,0.722222222222222,0.555555555555556,0.722222222222222,0.555555555555556,NA,-84.409653,33.778736
Little 5 Points,Fall 2009,PM,122,0.795081967213115,97,25,NA,NA,NA,0.573770491803279,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2009,PM,65,NA,NA,NA,0.738461538461539,0.6,NA,0.461538461538462,NA,-84.325645,33.788494
Trinity & W Ponce,Fall 2009,PM,8,0.625,5,3,0.75,0.25,0.75,0.25,NA,-84.306427,33.773048
Little 5 Points,Fall 2009,Saturday,28,0.642857142857143,18,10,0.535714285714286,0.964285714285714,0.928571428571429,0.928571428571429,NA,-84.349228,33.764969
17th & Spring,Fall 2010,AM,9,1,9,0,0.666666666666667,0.222222222222222,0.666666666666667,0.222222222222222,NA,-84.389275,33.791794
Edgewood & Krog,Fall 2010,AM,77,NA,NA,NA,0.727272727272727,0.974025974025974,0.961038961038961,0.961038961038961,0.961038961038961,-84.36425,33.754707
Flat Shoals + Glenwood,Fall 2010,AM,15,0.666666666666667,10,5,0.466666666666667,0.8,0.866666666666667,0.8,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2010,AM,47,0.765957446808511,36,11,0.787234042553192,0.872340425531915,0.936170212765957,0.851063829787234,NA,-84.35247,33.775402
Little 5 Points,Fall 2010,AM,28,0.785714285714286,22,6,0.678571428571429,0.714285714285714,0.857142857142857,0.714285714285714,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2010,AM,41,0.75609756097561,31,10,0.829268292682927,0.731707317073171,0.75609756097561,0.682926829268293,NA,-84.325645,33.788494
West Peachtree & 5th,Fall 2010,AM,68,0.852941176470588,58,10,0.720588235294118,0.882352941176471,0.955882352941177,0.867647058823529,0.897058823529412,-84.387321,33.776821
10th & Peachtree,Fall 2010,PM,60,NA,NA,NA,0.4,0.566666666666667,NA,0.566666666666667,NA,-84.383972,33.781734
17th & Spring,Fall 2010,PM,6,0.833333333333333,5,1,0.5,0.5,0.666666666666667,0.5,0.5,-84.389275,33.791794
Flat Shoals + Glenwood,Fall 2010,PM,28,0.857142857142857,24,4,0.428571428571429,0.785714285714286,0.892857142857143,0.785714285714286,NA,-84.345451,33.740185
Highland & St. Charles,Fall 2010,PM,93,0.827956989247312,77,16,0.602150537634409,0.655913978494624,0.903225806451613,0.655913978494624,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2010,PM,8,NA,NA,NA,0.375,0.625,0.875,0.625,NA,-84.409653,33.778736
Little 5 Points,Fall 2010,PM,74,0.824324324324324,61,13,0.5,0.72972972972973,0.878378378378378,0.716216216216216,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Fall 2010,PM,59,NA,NA,NA,0.813559322033898,0.830508474576271,0.915254237288136,0.813559322033898,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Fall 2010,PM,18,1,18,0,0.222222222222222,0.722222222222222,0.777777777777778,0.666666666666667,NA,-84.414101,33.738617
10th & Peachtree,Fall 2011,AM,35,0.857142857142857,30,5,0.571428571428571,0.742857142857143,0.914285714285714,NA,NA,-84.383972,33.781734
17th & Spring,Fall 2011,AM,10,0.8,8,2,0.5,0.7,1,NA,NA,-84.389275,33.791794
Flat Shoals + Glenwood,Fall 2011,AM,13,0.692307692307692,9,4,0.461538461538462,0.615384615384615,0.923076923076923,NA,NA,-84.345451,33.740185
Freedom Parkway & Highland,Fall 2011,AM,62,0.709677419354839,44,18,0.854838709677419,0.338709677419355,NA,NA,0.903225806451613,-84.35247,33.769016
Highland & St. Charles,Fall 2011,AM,45,0.844444444444444,38,7,0.755555555555556,0.844444444444444,0.955555555555556,NA,NA,-84.35247,33.775402
Little 5 Points,Fall 2011,AM,29,0.862068965517241,25,4,0.758620689655172,0.793103448275862,0.896551724137931,NA,NA,-84.349228,33.764969
Trinity & McDonough,Fall 2011,AM,11,0.909090909090909,10,1,0.818181818181818,0.818181818181818,1,NA,NA,-84.296494,33.773563
Trinity & W Ponce,Fall 2011,AM,23,0.695652173913043,16,7,0.91304347826087,0.521739130434783,0.608695652173913,NA,0.521739130434783,-84.306427,33.773048
West Peachtree & 5th,Fall 2011,AM,58,0.793103448275862,46,12,0.844827586206897,0.931034482758621,1,NA,NA,-84.387321,33.776821
Flat Shoals + Glenwood,Fall 2011,PM,27,0.666666666666667,18,9,0.518518518518518,0.740740740740741,0.851851851851852,NA,NA,-84.345451,33.740185
Freedom Parkway & Highland,Fall 2011,PM,133,NA,NA,NA,NA,NA,NA,NA,NA,-84.35247,33.769016
Trinity & McDonough,Fall 2011,PM,24,0.833333333333333,20,4,0.833333333333333,0.791666666666667,1,NA,NA,-84.296494,33.773563
Trinity & W Ponce,Fall 2011,PM,17,0.941176470588235,16,1,0.764705882352941,0.823529411764706,0.941176470588235,NA,0.764705882352941,-84.306427,33.773048
10th & Peachtree,Fall 2012,AM,28,0.714285714285714,20,8,0.678571428571429,0.571428571428571,0.892857142857143,NA,NA,-84.383972,33.781734
Cherokee & Woodward,Fall 2012,AM,11,0.909090909090909,10,1,0.727272727272727,1,0.818181818181818,NA,1,-84.373436,33.745541
Edgewood & Krog,Fall 2012,AM,62,0.758064516129032,47,15,0.903225806451613,0.967741935483871,0.967741935483871,NA,NA,-84.36425,33.754707
Five Points,Fall 2012,AM,40,0.825,33,7,NA,NA,NA,NA,NA,-84.389778,33.754486
Freedom Parkway & Highland,Fall 2012,AM,42,0.738095238095238,31,11,0.976190476190476,1,0.976190476190476,NA,NA,-84.35247,33.769016
Freedom Parkway Trail @ Sampson,Fall 2012,AM,8,0.875,7,1,NA,0.75,0.5,NA,NA,-84.362167,33.76313
Hosea Williams + Rogers,Fall 2012,AM,18,0.666666666666667,12,6,0.666666666666667,1,1,NA,1,-84.329163,33.753426
Huff Rd + Marietta Blvd,Fall 2012,AM,1,0,0,1,1,1,1,NA,0,-84.428299,33.788456
MLK + Joseph E. Lowery,Fall 2012,AM,11,1,11,0,0.363636363636364,NA,0.909090909090909,NA,0,-84.417572,33.754745
Moreland + McLendon,Fall 2012,AM,23,0.739130434782609,17,6,NA,NA,NA,NA,NA,-84.349283,33.764938
North Decatur @ Oxford & Dowman,Fall 2012,AM,39,0.692307692307692,27,12,0.923076923076923,0.897435897435897,1,NA,NA,-84.325645,33.788494
Piedmont & Decatur,Fall 2012,AM,48,0.8125,39,9,0.270833333333333,0.395833333333333,0.395833333333333,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Fall 2012,AM,15,0.866666666666667,13,2,0.733333333333333,0.933333333333333,0.866666666666667,NA,NA,-84.382294,33.754532
Ralph David Abernathy & Lee,Fall 2012,AM,6,NA,NA,NA,0,NA,0.5,NA,NA,-84.414101,33.738617
RDA + BeltLine Westside Trail,Fall 2012,AM,8,1,8,0,NA,NA,NA,NA,NA,-84.432617,33.738972
Virginia Ave + Lanier Blvd,Fall 2012,AM,7,0.714285714285714,5,2,NA,0.857142857142857,1,NA,NA,-84.353088,33.782341
10th & Peachtree,Fall 2012,PM,75,0.813333333333333,61,14,0.48,0.453333333333333,0.973333333333333,NA,NA,-84.383972,33.781734
BeltLine + Monroe,Fall 2012,PM,38,0.684210526315789,26,12,0.631578947368421,NA,0.289473684210526,NA,NA,-84.368484,33.78207
Cherokee & Woodward,Fall 2012,PM,24,0.791666666666667,19,5,0.541666666666667,0.958333333333333,0.958333333333333,NA,NA,-84.373436,33.745541
Clairmont & Starvine,Fall 2012,PM,36,NA,NA,NA,0.694444444444444,NA,0.944444444444444,NA,NA,-84.307281,33.798695
Edgewood & Krog,Fall 2012,PM,81,0.728395061728395,59,22,NA,NA,NA,NA,NA,-84.36425,33.754707
Five Points,Fall 2012,PM,39,0.846153846153846,33,6,NA,NA,NA,NA,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Fall 2012,PM,15,0.8,12,3,0.533333333333333,0.8,0.933333333333333,NA,1,-84.345451,33.740185
Freedom Parkway & Highland,Fall 2012,PM,59,NA,NA,NA,NA,NA,NA,NA,NA,-84.35247,33.769016
Highland & St. Charles,Fall 2012,PM,31,NA,NA,NA,0.516129032258065,0.935483870967742,1,NA,NA,-84.35247,33.775402
Howell Mill & Marietta,Fall 2012,PM,18,1,18,0,0.333333333333333,0.277777777777778,0.277777777777778,NA,NA,-84.409653,33.778736
Howell Mill Rd + Collier Rd,Fall 2012,PM,3,1,3,0,0.333333333333333,1,1,NA,1,-84.412857,33.809422
Huff Rd + Marietta Blvd,Fall 2012,PM,2,1,2,0,0.5,1,1,NA,0.5,-84.428299,33.788456
Joseph E. Lowery + Westview,Fall 2012,PM,2,1,2,0,0,0,0,NA,NA,-84.417564,33.746616
Moreland + McLendon,Fall 2012,PM,37,0.810810810810811,30,7,0.486486486486487,0.459459459459459,NA,NA,NA,-84.349283,33.764938
North Decatur @ Oxford & Dowman,Fall 2012,PM,50,0.74,37,13,0.92,0.7,0.86,NA,NA,-84.325645,33.788494
Piedmont & Decatur,Fall 2012,PM,54,0.814814814814815,44,10,0.240740740740741,NA,0.740740740740741,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Fall 2012,PM,43,0.883720930232558,38,5,0.325581395348837,0.604651162790698,0.883720930232558,NA,NA,-84.382294,33.754532
Ralph David Abernathy & Lee,Fall 2012,PM,25,1,25,0,NA,NA,NA,NA,NA,-84.414101,33.738617
RDA + BeltLine Westside Trail,Fall 2012,PM,13,0.923076923076923,12,1,NA,0.384615384615385,0.846153846153846,NA,NA,-84.432617,33.738972
W. Peachtree St + 5th St,Fall 2012,PM,91,NA,NA,NA,NA,0.923076923076923,0.912087912087912,NA,0.901098901098901,-84.387321,33.776821
Boulevard + Berne St,Fall 2012,Saturday,15,0.666666666666667,10,5,0.533333333333333,NA,0.933333333333333,NA,NA,-84.368195,33.736813
North Decatur @ Oxford & Dowman,Fall 2012,Saturday,22,0.772727272727273,17,5,0.727272727272727,0.818181818181818,0.863636363636364,NA,NA,-84.325645,33.788494
BeltLine + Monroe,Fall 2013,AM,121,0.776859504132231,94,27,0.760330578512397,0.809917355371901,NA,NA,NA,-84.368484,33.78207
Clairemont Ave + Superior Ave,Fall 2013,AM,17,0.647058823529412,11,6,0.764705882352941,0.588235294117647,0.882352941176471,NA,0,-84.299316,33.78201
Edgewood & Krog,Fall 2013,AM,38,0.868421052631579,33,5,NA,0.973684210526316,0.973684210526316,NA,NA,-84.36425,33.754707
Five Points,Fall 2013,AM,76,0.802631578947368,61,15,0.434210526315789,0.710526315789474,0.684210526315789,NA,NA,-84.389778,33.754486
Piedmont & Decatur,Fall 2013,AM,147,0.836734693877551,123,24,0.292517006802721,0.408163265306122,NA,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Fall 2013,AM,51,NA,NA,NA,NA,NA,NA,NA,NA,-84.382294,33.754532
Clairemont Ave + Superior Ave,Fall 2013,PM,38,0.657894736842105,25,13,0.710526315789474,0.447368421052632,0.736842105263158,NA,0,-84.299316,33.78201
Five Points,Fall 2013,PM,77,0.896103896103896,69,8,0.519480519480519,0.766233766233766,NA,NA,NA,-84.389778,33.754486
Little 5 Points,Fall 2013,PM,41,0.804878048780488,33,8,0.634146341463415,0.634146341463415,0.634146341463415,NA,NA,-84.349228,33.764969
Piedmont & Decatur,Fall 2013,PM,98,0.86734693877551,85,13,0.346938775510204,0.561224489795918,NA,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Fall 2013,PM,75,NA,NA,NA,0.386666666666667,0.666666666666667,NA,NA,NA,-84.382294,33.754532
W. Peachtree St + 5th St,Fall 2013,PM,124,0.758064516129032,94,30,0.564516129032258,0.92741935483871,0.951612903225806,NA,0.935483870967742,-84.387321,33.776821
10th & Peachtree,Spring 2009,AM,29,0.793103448275862,23,6,0.655172413793103,0.689655172413793,0.896551724137931,0.689655172413793,NA,-84.383972,33.781734
17th & Spring,Spring 2009,AM,13,0.846153846153846,11,2,0.538461538461538,0.538461538461538,0.769230769230769,0.538461538461538,NA,-84.389275,33.791794
Clairmont & Starvine,Spring 2009,AM,25,0.76,19,6,0.92,0.6,0.88,0.6,NA,-84.307281,33.798695
Edgewood & Krog,Spring 2009,AM,35,0.714285714285714,25,10,0.857142857142857,0.971428571428571,0.942857142857143,0.942857142857143,NA,-84.36425,33.754707
Five Points,Spring 2009,AM,21,1,21,0,0.80952380952381,NA,NA,0.761904761904762,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Spring 2009,AM,5,1,5,0,0,0.2,0.6,0.2,NA,-84.345451,33.740185
Freedom Parkway Trail @ Sampson,Spring 2009,AM,1,1,1,0,0,1,1,1,NA,-84.362167,33.76313
Highland & St. Charles,Spring 2009,AM,27,0.888888888888889,24,3,0.888888888888889,0.851851851851852,0.851851851851852,0.851851851851852,NA,-84.35247,33.775402
Howell Mill & Marietta,Spring 2009,AM,7,0.714285714285714,5,2,0.571428571428571,0.428571428571429,0.571428571428571,0.428571428571429,NA,-84.409653,33.778736
Little 5 Points,Spring 2009,AM,41,0.780487804878049,32,9,0.804878048780488,0.75609756097561,0.804878048780488,0.75609756097561,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Spring 2009,AM,35,NA,NA,NA,0.885714285714286,0.714285714285714,NA,0.714285714285714,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Spring 2009,AM,2,1,2,0,0,0.5,1,0.5,NA,-84.414101,33.738617
Trinity & W Ponce,Spring 2009,AM,16,0.875,14,2,0.9375,0.625,0.8125,0.625,NA,-84.306427,33.773048
West Peachtree & 5th,Spring 2009,AM,26,0.884615384615385,23,3,NA,NA,NA,0.807692307692308,NA,-84.387321,33.776821
10th & Peachtree,Spring 2009,PM,68,0.867647058823529,59,9,0.455882352941176,0.558823529411765,0.691176470588235,0.558823529411765,NA,-84.383972,33.781734
17th & Spring,Spring 2009,PM,24,0.833333333333333,20,4,0.458333333333333,0.625,0.916666666666667,0.625,0.625,-84.389275,33.791794
Clairmont & Starvine,Spring 2009,PM,26,0.653846153846154,17,9,0.730769230769231,0.961538461538462,0.923076923076923,0.923076923076923,0.846153846153846,-84.307281,33.798695
Edgewood & Krog,Spring 2009,PM,95,0.747368421052632,71,24,0.652631578947368,0.936842105263158,0.926315789473684,0.873684210526316,NA,-84.36425,33.754707
Five Points,Spring 2009,PM,42,0.880952380952381,37,5,0.357142857142857,0.785714285714286,NA,NA,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Spring 2009,PM,39,0.794871794871795,31,8,0.179487179487179,0.512820512820513,0.641025641025641,0.435897435897436,NA,-84.345451,33.740185
Highland & St. Charles,Spring 2009,PM,65,0.753846153846154,49,16,0.615384615384615,0.984615384615385,1,0.984615384615385,NA,-84.35247,33.775402
Howell Mill & Marietta,Spring 2009,PM,16,0.875,14,2,0.375,0.625,0.8125,0.625,NA,-84.409653,33.778736
Little 5 Points,Spring 2009,PM,18,0.722222222222222,13,5,0.333333333333333,0.777777777777778,0.833333333333333,0.777777777777778,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Spring 2009,PM,26,0.846153846153846,22,4,0.692307692307692,0.692307692307692,NA,0.461538461538462,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Spring 2009,PM,17,0.882352941176471,15,2,0.0588235294117647,0.352941176470588,0.411764705882353,0.352941176470588,NA,-84.414101,33.738617
Trinity & W Ponce,Spring 2009,PM,20,0.8,16,4,0.7,0.65,0.95,0.65,NA,-84.306427,33.773048
West Peachtree & 5th,Spring 2009,PM,60,0.783333333333333,47,13,NA,NA,NA,0.4,NA,-84.387321,33.776821
Little 5 Points,Spring 2009,Saturday,26,0.730769230769231,19,7,0.461538461538462,0.538461538461538,0.692307692307692,0.538461538461538,NA,-84.349228,33.764969
West Peachtree & 5th,Spring 2010,,1,1,1,0,0,1,1,1,1,-84.387321,33.776821
Little 5 Points,Spring 2010,12-2pm,68,0.779411764705882,53,15,0.558823529411765,0.617647058823529,0.808823529411765,0.617647058823529,NA,-84.349228,33.764969
10th & Peachtree,Spring 2010,AM,25,0.88,22,3,0.52,0.64,0.88,0.64,NA,-84.383972,33.781734
17th & Spring,Spring 2010,AM,8,0.625,5,3,1,0.625,0.625,0.625,0.625,-84.389275,33.791794
Edgewood & Krog,Spring 2010,AM,77,0.831168831168831,64,13,0.727272727272727,0.922077922077922,0.922077922077922,0.922077922077922,NA,-84.36425,33.754707
Five Points,Spring 2010,AM,43,0.86046511627907,37,6,0.511627906976744,0.790697674418605,0.86046511627907,0.790697674418605,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Spring 2010,AM,5,0.8,4,1,NA,NA,NA,0.2,NA,-84.345451,33.740185
Highland & St. Charles,Spring 2010,AM,27,NA,NA,NA,0.703703703703704,0.888888888888889,1,0.888888888888889,NA,-84.35247,33.775402
Howell Mill & Marietta,Spring 2010,AM,16,NA,NA,NA,0.375,0.75,0.8125,0.6875,NA,-84.409653,33.778736
Little 5 Points,Spring 2010,AM,39,0.82051282051282,32,7,NA,NA,NA,0.461538461538462,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Spring 2010,AM,40,NA,NA,NA,0.875,0.7,NA,0.7,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Spring 2010,AM,10,0.9,9,1,0.3,0.6,0.7,0.6,NA,-84.414101,33.738617
West Peachtree & 5th,Spring 2010,AM,30,0.733333333333333,22,8,0.666666666666667,0.833333333333333,0.9,0.833333333333333,NA,-84.387321,33.776821
10th & Peachtree,Spring 2010,PM,73,0.917808219178082,67,6,0.465753424657534,0.643835616438356,0.808219178082192,0.643835616438356,NA,-84.383972,33.781734
17th & Spring,Spring 2010,PM,25,0.84,21,4,0.64,0.68,NA,0.6,NA,-84.389275,33.791794
Edgewood & Krog,Spring 2010,PM,98,0.846938775510204,83,15,NA,NA,0.979591836734694,0.877551020408163,NA,-84.36425,33.754707
Five Points,Spring 2010,PM,56,NA,NA,NA,NA,NA,NA,0.75,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Spring 2010,PM,24,0.875,21,3,0.333333333333333,0.708333333333333,0.666666666666667,0.583333333333333,NA,-84.345451,33.740185
Highland & St. Charles,Spring 2010,PM,89,0.865168539325843,77,12,0.528089887640449,0.797752808988764,0.910112359550562,0.797752808988764,NA,-84.35247,33.775402
Howell Mill & Marietta,Spring 2010,PM,14,0.928571428571429,13,1,0.428571428571429,0.5,1,0.5,NA,-84.409653,33.778736
Little 5 Points,Spring 2010,PM,89,NA,NA,NA,0.584269662921348,0.651685393258427,0.820224719101124,0.629213483146067,NA,-84.349228,33.764969
North Decatur @ Oxford & Dowman,Spring 2010,PM,59,NA,NA,NA,0.915254237288136,0.796610169491525,0.694915254237288,0.677966101694915,NA,-84.325645,33.788494
Ralph David Abernathy & Lee,Spring 2010,PM,20,1,20,0,0,NA,NA,0,NA,-84.414101,33.738617
West Peachtree & 5th,Spring 2010,PM,65,0.938461538461538,61,4,0.676923076923077,0.8,0.892307692307692,0.784615384615385,NA,-84.387321,33.776821
10th & Peachtree,Spring 2011,AM,22,NA,NA,NA,0.454545454545455,0.409090909090909,NA,NA,NA,-84.383972,33.781734
17th & Spring,Spring 2011,AM,3,NA,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,NA,-84.389275,33.791794
Edgewood & Krog,Spring 2011,AM,43,NA,NA,NA,0.813953488372093,0.976744186046512,0.976744186046512,0.86046511627907,0.441860465116279,-84.36425,33.754707
Five Points,Spring 2011,AM,29,NA,NA,NA,0.482758620689655,0.724137931034483,0.793103448275862,NA,NA,-84.389778,33.754486
Highland & St. Charles,Spring 2011,AM,22,NA,NA,NA,0.772727272727273,0.954545454545455,0.909090909090909,0.818181818181818,NA,-84.35247,33.775402
Piedmont & Decatur,Spring 2011,AM,29,NA,NA,NA,0.448275862068966,0.517241379310345,0.758620689655172,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Spring 2011,AM,40,NA,NA,NA,0.7,0.85,0.9,NA,NA,-84.382294,33.754532
Five Points,Spring 2011,PM,68,NA,NA,NA,0.455882352941176,0.764705882352941,0.852941176470588,NA,NA,-84.389778,33.754486
Freedom Parkway Trail @ Sampson,Spring 2011,PM,60,NA,NA,NA,0.6,NA,NA,NA,NA,-84.362167,33.76313
Little 5 Points,Spring 2011,PM,180,NA,NA,NA,0.45,0.433333333333333,0.733333333333333,NA,NA,-84.349228,33.764969
Piedmont & Decatur,Spring 2011,PM,55,NA,NA,NA,0.472727272727273,0.636363636363636,0.836363636363636,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Spring 2011,PM,42,NA,NA,NA,0.547619047619048,0.785714285714286,0.904761904761905,NA,NA,-84.382294,33.754532
West Peachtree & 5th,Spring 2011,PM,96,NA,NA,NA,0.604166666666667,0.916666666666667,0.958333333333333,0.864583333333333,0.864583333333333,-84.387321,33.776821
10th & Peachtree,Spring 2012,AM,37,0.864864864864865,32,5,0.486486486486487,0.675675675675676,0.891891891891892,NA,NA,-84.383972,33.781734
Edgewood & Krog,Spring 2012,AM,50,0.72,36,14,0.74,1,1,NA,NA,-84.36425,33.754707
Freedom Parkway & Highland,Spring 2012,AM,108,0.768518518518518,83,25,0.842592592592593,0.37962962962963,0.990740740740741,NA,NA,-84.35247,33.769016
Howell Mill & Marietta,Spring 2012,AM,11,1,11,0,0.272727272727273,0.818181818181818,0.909090909090909,NA,NA,-84.409653,33.778736
Little 5 Points,Spring 2012,AM,62,0.741935483870968,46,16,0.806451612903226,0.774193548387097,0.935483870967742,NA,NA,-84.349228,33.764969
Trinity & W Ponce,Spring 2012,AM,15,0.866666666666667,13,2,0.866666666666667,0.933333333333333,1,NA,0.933333333333333,-84.306427,33.773048
West Peachtree & 5th,Spring 2012,AM,99,0.868686868686869,86,13,0.767676767676768,0.929292929292929,0.939393939393939,NA,0.909090909090909,-84.387321,33.776821
10th & Peachtree,Spring 2012,PM,99,0.878787878787879,87,12,0.444444444444444,0.626262626262626,0.777777777777778,NA,NA,-84.383972,33.781734
Edgewood & Krog,Spring 2012,PM,211,0.805687203791469,170,41,0.601895734597156,0.971563981042654,0.985781990521327,NA,NA,-84.36425,33.754707
Highland & St. Charles,Spring 2012,PM,128,0.78125,100,28,0.6953125,0.8046875,0.921875,NA,NA,-84.35247,33.775402
Howell Mill & Marietta,Spring 2012,PM,33,0.939393939393939,31,2,0.575757575757576,0.575757575757576,0.878787878787879,NA,NA,-84.409653,33.778736
Little 5 Points,Spring 2012,PM,79,0.810126582278481,64,15,0.607594936708861,0.582278481012658,0.79746835443038,NA,NA,-84.349228,33.764969
Trinity & W Ponce,Spring 2012,PM,29,0.724137931034483,21,8,0.827586206896552,0.793103448275862,0.827586206896552,NA,0.758620689655172,-84.306427,33.773048
West Peachtree & 5th,Spring 2012,PM,200,0.875,175,25,0.79,0.925,0.94,NA,0.915,-84.387321,33.776821
BeltLine + Irwin,Spring 2013,AM,126,0.801587301587302,101,25,NA,NA,0.904761904761905,NA,0.547619047619048,-84.36496,33.757633
Edgewood & Krog,Spring 2013,AM,1,1,1,0,0,1,1,NA,NA,-84.36425,33.754707
Five Points,Spring 2013,AM,42,NA,NA,NA,0.476190476190476,0.833333333333333,0.880952380952381,NA,NA,-84.389778,33.754486
Moreland + Euclid,Spring 2013,AM,33,NA,NA,NA,0.818181818181818,0.818181818181818,0.939393939393939,NA,NA,-84.349154,33.765446
Piedmont & Decatur,Spring 2013,AM,67,0.761194029850746,51,16,0.328358208955224,0.447761194029851,0.955223880597015,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Spring 2013,AM,37,0.756756756756757,28,9,0.513513513513513,0.837837837837838,0.891891891891892,NA,NA,-84.382294,33.754532
Edgewood & Krog,Spring 2013,PM,133,NA,NA,NA,0.541353383458647,0.947368421052632,0.954887218045113,NA,0,-84.36425,33.754707
Five Points,Spring 2013,PM,52,0.826923076923077,43,9,0.307692307692308,0.807692307692308,0.903846153846154,NA,NA,-84.389778,33.754486
Flat Shoals + Glenwood,Spring 2013,PM,43,0.837209302325581,36,7,0.511627906976744,0.837209302325581,0.906976744186046,NA,0,-84.345451,33.740185
Piedmont & Decatur,Spring 2013,PM,85,0.870588235294118,74,11,0.329411764705882,0.647058823529412,0.894117647058824,NA,NA,-84.385384,33.751461
Piedmont & Edgewood,Spring 2013,PM,47,0.851063829787234,40,7,0.404255319148936,0.765957446808511,0.914893617021277,NA,NA,-84.382294,33.754532
